reduced_separation,g_ij,component_pair
1.0129766250803465,2.1280390355933854,g11
1.0294912908160836,2.0921366374483528,g11
1.0411338367325313,2.041827100767325,g11
1.0731666934894266,1.963600996254392,g11
1.0857560661434904,1.9117426125613002,g11
1.099636501118159,1.8368236177996955,g11
1.1302969722518814,1.768603023516237,g11
1.137776050258582,1.7216822894543764,g11
1.1559355421722854,1.6619303842419697,g11
1.1825883052748678,1.5999571730768878,g11
1.2007270130169025,1.5590147875190539,g11
1.2299089029615462,1.4566554048219538,g11
1.2147896982604907,1.513353035928044,g11
1.2652348616068532,1.3967669464073484,g11
1.2957138321865613,1.3348431784071049,g11
1.3304573850214172,1.272475187494905,g11
1.3622498917503678,1.2153772637757267,g11
1.3901191083863005,1.1682359175022414,g11
1.4278603038404978,1.1113590525781127,g11
1.4773997066644153,1.061970498513341,g11
1.5061106125073807,1.0219932435331418,g11
1.5423658545057954,0.9828915951034034,g11
1.5919392532478216,0.959876253771299,g11
1.6256873061630641,0.9394726652164769,g11
1.670255143679037,0.9286115475442425,g11
1.7227754957016164,0.9148432645761004,g11
1.7753505451375358,0.9098557396960683,g11
1.8279749180575184,0.912786278124444,g11
1.880633321166244,0.9211797961855885,g11
1.9353316599845318,0.9371632866327593,g11
1.9840806427350268,0.9577399368974526,g11
2.0388204724016052,0.9803840915234128,g11
2.091513129260542,0.9942764782852436,g11
2.144203445299386,1.007793085394737,g11
2.1968272827990427,1.0106376710133897,g11
2.249425634291165,1.009390902889185,g11
2.3020268376010256,1.0086019465725609,g11
2.354601337526609,1.00352620696676,g11
2.4071689051679686,0.997337604666638,g11
2.4597435741736557,0.9922890080533819,g11
2.512298047500366,0.9839983317751004,g11
2.56490508595245,0.9841461102900646,g11
2.6174891107238407,0.9805994259309307,g11
2.670070852913838,0.9766863111724478,g11
2.72264019589628,0.9707827102940434,g11
2.7752473395537613,0.9709473777821453,g11
2.8278693960763315,0.9735060572126639,g11
2.880492083831288,0.9761660704820141,g11
2.9331112209040793,0.9782560809079319,g11
2.9857295689363905,0.9802194240353095,g11
3.038335923553391,0.980257424224872,g11
3.090945129988129,0.9807532362220166,g11
3.1435633878443854,0.9827021030867034,g11
3.19616169424848,0.9814480968311527,g11
3.248781955703957,0.9837186081574907,g11
3.3013968122321398,0.9851214484888264,g11
3.3539884117921472,0.9827907701956824,g11
3.4065807722126173,0.9805822353689861,g11
3.4591570023912563,0.9757842590535564,g11
3.511742278355409,0.9724384328392519,g11
3.564347212699543,0.9722484318914408,g11
3.6169850613037404,0.977342266825604,g11
3.6696143431827153,0.9810608568041861,g11
3.7222313949342354,0.9828161036553897,g11
3.774841908921772,0.9835218214615438,g11
3.827437712940341,0.9818660989163361,g11
3.8800509322095253,0.9830061046032004,g11
3.93265468299294,0.9826261027075791,g11
3.9872489692113042,0.9819056824471302,g11
4.040541463978484,0.9801313506792932,g11
4.087516494438492,0.9804520534008985,g11
4.143057850519378,0.979206085646986,g11
4.195669333899505,0.9800674232770614,g11
4.248283984713563,0.9814372396341349,g11
4.300884725871141,0.9805740924712234,g11
4.353487619982032,0.9800565660800431,g11
4.406080324198712,0.9779032220048554,g11
4.458651386162201,0.9722755748839851,g11
4.511290023806879,0.9774960771166894,g11
4.56391744580472,0.9809160941772825,g11
4.616526167543164,0.9813340962624659,g11
4.66914069060781,0.9826834045807282,g11
4.721788980847704,0.989453470098911,g11
4.774412311107052,0.9922166267399302,g11
4.827035923166571,0.9950250217018564,g11
4.879642289055578,0.9950648314242554,g11
4.932250063945444,0.9953308327511903,g11
4.982461759606835,0.9948114968271735,g11
1.5148424961130338,2.4664033192747903,g12
1.516796576781877,2.3962331544194306,g12
1.5240520505792847,2.3134164912924273,g12
1.5671939370500352,2.1952000277656722,g12
1.5888630959583756,2.0654890045178975,g12
1.621833270810592,1.9841875989496849,g12
1.628731042968971,1.9399142114273207,g12
1.6448520276651484,1.840812883731706,g12
1.6779147471027727,1.774367968941061,g12
1.6852614728682018,1.725393550824971,g12
