reduced_separation,g_r,volume_fraction
0.994978118593282,1.6873783885782063,0.2
1.0154638463964676,1.666775106070483,0.2
1.0312549282447567,1.6346543233626263,0.2
1.0534149703395488,1.5841851238292222,0.2
1.0809450120530788,1.5534128392254118,0.2
1.1089909489264875,1.5132421228706843,0.2
1.1187460574041954,1.491072435071141,0.2
1.1294157073016877,1.4647288245685977,0.2
1.1536649116141704,1.4138402709303086,0.2
1.1777847868369875,1.3781670364361842,0.2
1.2083711165431321,1.3284005564810935,0.2
1.2412336382274094,1.2870203547500136,0.2
1.2754929140800852,1.2584699578675065,0.2
1.2894604557640754,1.2264257345580774,0.2
1.3130978339985204,1.184934294965675,0.2
1.3443735872365035,1.1510062672938046,0.2
1.3876212348210064,1.120946023375066,0.2
1.4168865602541287,1.1000079848977196,0.2
1.4516391342059616,1.070116803270558,0.2
1.4985855937549286,1.038214980442203,0.2
1.5451763983073126,1.0084132776119537,0.2
1.5924785128528627,0.9822927420565775,0.2
1.6394249724018297,0.9656525568084353,0.2
1.6863714319507968,0.9526837775118673,0.2
1.7350961664826792,0.938116804823258,0.2
1.7802643510487308,0.9417654503036748,0.2
1.8272108105976979,0.9418739732509451,0.2
1.8741572701466649,0.9432767328286271,0.2
1.921103729695632,0.9502181820855211,0.2
1.968050189244599,0.9714283892242757,0.2
2.014996648793566,0.9837477534236849,0.2
2.061943108342533,0.9951225660449994,0.2
2.1088895678915,1.0008823209871702,0.2
2.155836027440467,1.0087241087695675,0.2
2.202782486989434,1.010685560557271,0.2
2.249728946538401,1.015516841395017,0.2
2.296675406087368,1.0164131605521025,0.2
2.3436218656363352,1.0168472523411847,0.2
2.3905683251853023,1.0168271554990975,0.2
2.4375147847342693,1.01218191399953,0.2
2.4844612442832363,1.0092305491901632,0.2
2.5314077038322034,1.0097369896107586,0.2
2.5783541633811704,1.0078559251914034,0.2
2.6253006229301374,1.0069395091922306,0.2
2.6722470824791045,1.0045278881417754,0.2
2.7191935420280715,1.003100438158101,0.2
2.7661400015770385,0.9975060515165328,0.2
2.8130864611260056,0.9960389820441724,0.2
2.8600329206749726,0.9960872144651816,0.2
2.9069793802239396,0.9962077955177044,0.2
2.9539258397729067,1.001031037618615,0.2
3.0008722993218737,1.0051307934043892,0.2
3.0478187588708407,1.0058542797195258,0.2
3.094765218419808,1.0052513744569118,0.2
3.141711677968775,1.0034426586690701,0.2
3.188658137517742,1.0034426586690701,0.2
3.235604597066709,1.003080915511502,0.2
3.282551056615676,1.0016167170165828,0.2
3.329497516164643,0.9963926864649058,0.2
3.37644397571361,0.994712590466422,0.2
3.423390435262577,0.9976547681479775,0.2
3.470336894811544,0.996280144149218,0.2
3.517283354360511,0.9967865845698132,0.2
3.564229813909478,0.9976346713058901,0.2
3.611176273458445,0.9977110393058217,0.2
3.658122733007412,0.9975603129901685,0.2
3.7050691925563792,1.001121473408007,0.2
3.7520156521053463,1.004045563931684,0.2
3.7989621116543133,1.004045563931684,0.2
3.8459085712032803,1.0034426586690701,0.2
3.8928550307522474,1.0039249828791614,0.2
3.9398014903012144,1.004045563931684,0.2
3.9867479498501814,1.0048896312993436,0.2
4.03369440939915,1.0047690502468207,0.2
4.080640868948116,1.0050102123518663,0.2
4.127587328497084,1.0070600902447533,0.2
4.17453378804605,1.0077835765598901,0.2
4.221480247595018,1.0079041576124128,0.2
4.268426707143984,1.008265900769981,0.2
4.315373166692952,1.006698347087185,0.2
4.362319626241918,1.0050584447728759,0.2
4.409266085790886,1.0026629011960901,0.2
4.456212545339852,1.0037481306687945,0.2
4.50315900488882,1.0032577677218695,0.2
4.550105464437786,1.0023091967753563,0.2
4.597051923986754,1.0029040633011355,0.2
4.64399838353572,1.0035230460374187,0.2
4.690944843084688,1.0024205907000678,0.2
4.737891302633654,0.9975140902533675,0.2
4.784837762182622,0.9976427100427252,0.2
4.8317842217315885,0.9979441626740322,0.2
4.878730681280556,0.997883872147771,0.2
4.925677140829523,0.9975020321481154,0.2
4.9726236003784905,1.0019715698282925,0.2
4.998230760132472,1.0016339428812289,0.2
0.9864423986752882,2.299375462552259,0.3
1.0013799085317778,2.2457477930743366,0.3
1.0013799085317778,2.205886962847149,0.3
